Year,Price
1975,2000.0
1976,2000.0
1977,2090.24
1978,2136.79
1979,2156.72
1980,2088.18
1981,2019.68
1982,2000.0
1983,2073.64
1984,2094.31
1985,2136.42
1986,2041.09
1987,2135.67
1988,2202.81
1989,2145.98
1990,2083.09
1991,2020.57
1992,2000.0
1993,2005.85
1994,2000.0
1995,2000.0
1996,2023.42
1997,2000.0
1998,2000.0
1999,2000.0
2000,2000.0
2001,2058.34
2002,2000.0
2003,2004.25
2004,2024.18
2005,2000.0
2006,2023.06
2007,2000.0
2008,2000.0
2009,2091.48
2010,2186.35
2011,2249.83
2012,2212.61
2013,2134.04
2014,2172.84
2015,2162.87
2016,2089.32
2017,2090.46
2018,2000.0
2019,2084.06
2020,2038.07
2021,2072.87
2022,2037.57
2023,2043.98
2024,2055.77
2025,2000.0
2026,2096.47
2027,2154.09
2028,2244.64
2029,2326.31
2030,2348.64
2031,2435.81
2032,2356.36
2033,2298.46
2034,2210.45
2035,2178.52
2036,2159.31
2037,2116.68
2038,2185.57
2039,2160.12
2040,2119.56
2041,2131.4
2042,2062.93
2043,2126.77
2044,2045.13
2045,2146.01
2046,2204.01
2047,2147.35
2048,2052.11
2049,2118.9
2050,2164.02
2051,2213.62
2052,2271.73
2053,2190.44
2054,2166.08
2055,2093.25
2056,2169.92
2057,2198.68
2058,2169.01
2059,2085.92
2060,2052.37
2061,2021.71
2062,2071.98
2063,2103.89
2064,2185.78
2065,2184.73
2066,2113.19
2067,2160.44
2068,2217.25
2069,2234.21
2070,2293.15
2071,2296.71
2072,2306.11
2073,2296.51
2074,2206.55
2075,2133.13
2076,2044.46
2077,2076.84
2078,2044.86
2079,2051.78
2080,2138.54
2081,2093.7
2082,2081.13
2083,2137.64
2084,2088.85
2085,2009.74
2086,2000.0
2087,2000.0
2088,2091.59
2089,2158.91
2090,2191.34
2091,2271.44
2092,2338.02
2093,2281.23
2094,2365.7
2095,2379.57
2096,2447.1
2097,2532.42
2098,2502.17
2099,2430.38
2100,2382.22
2101,2373.94
2102,2443.89
2103,2522.44
2104,2430.28
2105,2438.93
2106,2428.96
2107,2379.98
2108,2310.61
2109,2284.83
2110,2380.16
2111,2351.6
2112,2362.21
2113,2409.71
2114,2389.39
2115,2490.75
2116,2590.29
2117,2547.74
2118,2554.34
2119,2521.72
2120,2485.94
2121,2400.61
2122,2429.88
2123,2437.81
2124,2355.56
2125,2318.79
2126,2407.99
2127,2363.5
2128,2300.13
2129,2305.72
2130,2410.6
2131,2366.81
2132,2409.09
2133,2469.31
2134,2424.79
2135,2478.44
2136,2460.04
2137,2494.6
2138,2529.46
2139,2544.81
2140,2471.12
2141,2546.48
2142,2518.99
2143,2464.69
2144,2381.3
2145,2407.98
2146,2452.04
2147,2363.96
2148,2375.02
2149,2329.02
2150,2366.81
2151,2310.48
2152,2357.52
2153,2343.77
2154,2440.06
2155,2376.57
2156,2353.83
2157,2285.62
2158,2379.71
2159,2464.38
2160,2425.22
2161,2466.52
2162,2539.31
2163,2559.75
2164,2575.13
2165,2533.0
2166,2461.17
2167,2550.22
2168,2639.95
2169,2676.27
2170,2653.82
2171,2633.47
2172,2688.51
2173,2777.83
2174,2865.2
2175,2931.17
2176,2969.63
2177,2896.56
2178,2839.03
2179,2928.94
2180,2960.48
2181,2872.62
2182,2803.26
2183,2846.36
2184,2757.83
2185,2700.49
2186,2720.78
2187,2769.76
2188,2810.81
2189,2766.36
2190,2819.54
2191,2777.79
2192,2753.72
2193,2813.92
2194,2854.8
2195,2935.64
2196,2978.22
2197,3002.98
2198,2932.86
2199,2917.61
2200,2881.9
2201,2842.0
2202,2947.95
2203,2937.97
2204,3027.83
2205,3065.55
2206,3136.07
2207,3148.19
2208,3175.22
2209,3185.43
2210,3136.23
2211,3192.52
2212,3160.52
2213,3077.28
2214,3118.33
2215,3065.75
2216,3165.89
2217,3268.78
2218,3363.9
2219,3350.13
2220,3265.47
2221,3363.44
2222,3361.42
2223,3467.16
2224,3572.33
2225,3655.43
2226,3626.87
2227,3616.49
2228,3699.37
2229,3675.45
2230,3622.1
2231,3646.26
2232,3746.34
2233,3798.45
2234,3825.41
2235,3757.85
2236,3793.9
2237,3905.01
2238,3846.18
2239,3863.04
2240,3951.77
2241,4013.22
2242,4065.97
2243,4119.87
2244,4105.22
2245,4077.44
2246,4152.86
2247,4228.48
2248,4315.55
2249,4411.89
2250,4427.91
2251,4442.02
2252,4515.52
2253,4559.42
2254,4613.76
2255,4686.92
2256,4778.97
2257,4760.67
2258,4749.94
2259,4682.93
2260,4712.84
2261,4634.33
2262,4641.8
2263,4664.73
2264,4636.48
2265,4669.15
2266,4589.8
2267,4511.87
2268,4591.04
2269,4577.78
2270,4517.94
2271,4537.19
2272,4606.04
2273,4564.1
2274,4603.63
2275,4535.7
2276,4461.09
2277,4482.46
2278,4505.73
2279,4548.42
2280,4608.89
2281,4719.36
2282,4737.97
2283,4717.96
2284,4792.45
2285,4762.11
2286,4765.46
2287,4696.75
2288,4617.47
2289,4725.7
2290,4808.64
2291,4863.64
2292,4861.28
2293,4811.84
2294,4759.08
2295,4725.12
2296,4751.02
2297,4810.04
2298,4858.23
2299,4830.42
2300,4937.64
2301,5001.52
2302,5028.74
2303,5067.48
2304,5067.85
2305,5033.9
2306,5021.64
2307,5089.81
2308,5009.34
2309,4949.26
2310,4875.21
2311,4800.15
2312,4888.09
2313,4945.73
2314,4957.51
2315,4894.08
2316,4909.45
2317,4921.25
2318,4873.04
2319,4877.01
2320,4873.96
2321,4914.43
2322,4958.8
2323,4885.26
2324,4877.63
2325,4920.3
2326,4938.48
2327,5027.38
2328,5076.76
2329,5027.05
2330,4958.92
2331,5005.2
2332,4928.35
2333,4963.41
2334,5069.4
2335,5102.5
2336,5098.18
2337,5144.94
2338,5154.74
2339,5182.06
2340,5288.61
2341,5284.13
2342,5394.71
2343,5494.18
2344,5451.79
2345,5384.17
2346,5322.87
2347,5245.12
2348,5182.65
2349,5237.96
2350,5170.94
2351,5153.54
2352,5241.36
2353,5164.92
2354,5246.76
2355,5222.13
2356,5164.82
2357,5223.26
2358,5268.2
2359,5362.9
2360,5429.16
2361,5509.16
2362,5484.91
2363,5439.8
2364,5509.37
2365,5590.24
2366,5707.89
2367,5710.02
2368,5704.07
2369,5779.05
2370,5766.96
2371,5872.91
2372,5964.45
2373,5970.15
2374,6040.27
2375,6111.18
2376,6051.85
2377,6152.46
2378,6173.66
2379,6259.16
2380,6243.42
2381,6342.82
2382,6341.01
2383,6263.58
2384,6365.1
2385,6303.86
2386,6288.27
2387,6398.89
2388,6509.66
2389,6545.05
2390,6592.16
2391,6602.65
2392,6582.14
2393,6568.78
2394,6624.23
2395,6695.71
2396,6775.07
2397,6854.1
2398,6793.49
2399,6813.57
2400,6746.33
2401,6777.54
2402,6787.19
2403,6886.13
2404,6877.77
2405,6822.68
2406,6772.83
2407,6846.73
2408,6892.03
2409,6833.95
2410,6772.52
2411,6834.52
2412,6770.92
2413,6857.19
2414,6920.39
2415,6858.66
2416,6797.68
2417,6917.1
2418,6914.11
2419,6910.44
2420,6995.25
2421,7107.0
2422,7226.55
2423,7299.62
2424,7297.32
2425,7236.52
2426,7314.5
2427,7348.78
2428,7356.28
2429,7460.25
2430,7405.24
2431,7426.56
2432,7351.68
2433,7368.32
2434,7302.53
2435,7249.29
2436,7195.85
2437,7248.79
2438,7321.15
2439,7361.02
2440,7476.71
2441,7474.98
2442,7455.47
2443,7552.59
2444,7520.76
2445,7636.91
2446,7562.89
2447,7680.46
2448,7612.74
2449,7714.67
2450,7743.96
2451,7866.36
2452,7804.97
2453,7839.64
2454,7957.45
2455,7986.07
2456,8036.0
2457,8099.25
2458,8114.3
2459,8164.02
2460,8205.13
2461,8309.66
2462,8243.1
2463,8223.69
2464,8338.22
2465,8440.78
2466,8456.46
2467,8505.08
2468,8485.21
2469,8447.53
2470,8465.02
2471,8460.5
2472,8502.08
2473,8442.52
2474,8562.35
2475,8684.59
2476,8749.28
2477,8781.6
2478,8768.65
2479,8856.61
2480,8918.81
2481,8876.63
2482,8984.17
2483,9074.07
2484,9189.48
2485,9260.13
2486,9308.36
2487,9317.61
2488,9429.8
2489,9528.72
2490,9463.51
2491,9394.58
2492,9395.73
2493,9483.74
2494,9607.14
2495,9563.23
2496,9608.1
2497,9610.38
2498,9730.51
2499,9825.14
2500,9919.05
2501,9939.09
2502,9948.41
2503,9929.49
2504,9867.21
2505,9966.66
2506,10055.79
2507,10182.33
2508,10308.31
2509,10346.09
2510,10426.64
2511,10542.39
2512,10639.17
2513,10615.54
2514,10632.6
2515,10585.43
2516,10703.29
2517,10751.63
2518,10724.51
2519,10786.05
2520,10836.92
2521,10835.86
2522,10785.92
2523,10847.63
2524,10879.14
2525,10961.11
2526,10992.69
2527,11090.73
2528,11128.76
2529,11168.65
2530,11271.73
2531,11280.22
2532,11234.88
2533,11168.53
2534,11247.51
2535,11299.57
2536,11368.44
2537,11339.13
2538,11294.55
2539,11225.66
2540,11224.03
2541,11270.31
2542,11277.11
2543,11293.01
2544,11402.29
2545,11400.44
2546,11431.79
2547,11517.12
2548,11525.08
2549,11578.2
2550,11679.42
2551,11798.12
2552,11756.39
2553,11870.61
2554,11897.98
2555,11878.63
2556,11899.5
2557,12024.61
2558,12052.28
2559,12047.23
2560,12103.16
2561,12080.49
2562,12025.02
2563,11980.19
2564,11935.25
2565,11895.13
2566,11852.45
2567,11910.22
2568,11876.25
2569,11875.08
2570,11984.19
2571,12008.78
2572,12072.14
2573,12036.51
2574,12004.92
2575,11943.09
2576,11906.93
2577,11892.74
2578,11858.3
2579,11806.24
2580,11760.61
2581,11783.07
2582,11754.69
2583,11757.94
2584,11789.07
2585,11857.65
2586,11796.07
2587,11886.55
2588,11942.78
2589,11889.83
2590,11995.3
2591,12110.27
2592,12053.34
2593,12039.61
2594,12131.8
2595,12212.45
2596,12180.41
2597,12153.38
2598,12158.62
2599,12186.73
2600,12241.63
2601,12246.71
2602,12270.57
2603,12351.46
2604,12290.25
2605,12272.23
2606,12346.45
2607,12457.1
2608,12491.08
2609,12529.2
2610,12482.39
2611,12503.67
2612,12542.04
2613,12522.44
2614,12508.24
2615,12515.69
2616,12451.76
2617,12448.27
2618,12422.71
2619,12420.41
2620,12376.62
2621,12487.02
2622,12538.09
2623,12606.31
2624,12696.59
2625,12728.78
2626,12678.72
2627,12718.74
2628,12768.76
2629,12850.54
2630,12869.63
2631,12827.94
2632,12817.55
2633,12823.06
2634,12885.2
2635,12932.35
2636,12936.62
2637,13067.03
2638,13121.33
2639,13101.98
2640,13055.58
2641,13019.45
2642,13002.0
2643,12967.53
2644,12938.3
2645,12928.81
2646,12897.04
2647,13009.99
2648,12959.69
2649,12998.29
2650,13014.12
2651,13144.4
2652,13100.65
2653,13114.13
2654,13241.97
2655,13349.07
2656,13446.54
2657,13432.22
2658,13400.54
