Year,Price
1975,2000.0
1976,2000.0
1977,2092.18
1978,2141.64
1979,2165.46
1980,2101.76
1981,2039.08
1982,2000.0
1983,2081.4
1984,2110.81
1985,2162.62
1986,2077.97
1987,2184.19
1988,2263.95
1989,2220.7
1990,2172.37
1991,2125.38
1992,2103.57
1993,2126.89
1994,2132.67
1995,2111.32
1996,2155.12
1997,2105.47
1998,2087.37
1999,2085.13
2000,2101.85
2001,2185.42
2002,2152.91
2003,2184.32
2004,2232.4
2005,2172.3
2006,2225.44
2007,2192.2
2008,2138.88
2009,2263.36
2010,2392.2
2011,2490.61
2012,2489.29
2013,2447.6
2014,2524.24
2015,2553.09
2016,2519.33
2017,2561.22
2018,2511.98
2019,2638.74
2020,2636.42
2021,2715.86
2022,2726.16
2023,2779.15
